Team_A,Team_B,Team_A_Wins,Team_B_Wins,Total_Matches
Pune Warriors,Sunrisers Hyderabad,4,6,10
Rajasthan Royals,Chennai Super Kings,13,16,29
Rajasthan Royals,Delhi Capitals,15,14,29
Rajasthan Royals,Gujarat Titans,1,5,6
Rajasthan Royals,Kings XI Punjab,16,12,28
Rajasthan Royals,Kochi Tuskers Kerala,1,1,2
Rajasthan Royals,Kolkata Knight Riders,14,14,28
Rajasthan Royals,Lucknow Super Giants,4,1,5
Rajasthan Royals,Mumbai Indians,14,15,29
Rajasthan Royals,Pune Warriors,4,1,5
Rajasthan Royals,Royal Challengers Bangalore,14,15,29
Rajasthan Royals,Sunrisers Hyderabad,16,13,29
Royal Challengers Bangalore,Chennai Super Kings,11,21,32
Royal Challengers Bangalore,Delhi Capitals,19,11,30
Royal Challengers Bangalore,Gujarat Titans,6,4,10
Royal Challengers Bangalore,Kings XI Punjab,16,17,33
Royal Challengers Bangalore,Kochi Tuskers Kerala,2,0,2
Royal Challengers Bangalore,Kolkata Knight Riders,14,20,34
Royal Challengers Bangalore,Lucknow Super Giants,3,2,5
Royal Challengers Bangalore,Mumbai Indians,14,19,33
Royal Challengers Bangalore,Pune Warriors,7,2,9
Royal Challengers Bangalore,Rajasthan Royals,15,14,29
Royal Challengers Bangalore,Sunrisers Hyderabad,16,19,35
Sunrisers Hyderabad,Chennai Super Kings,10,21,31
Sunrisers Hyderabad,Delhi Capitals,17,18,35
Sunrisers Hyderabad,Gujarat Titans,6,3,9
Sunrisers Hyderabad,Kings XI Punjab,19,14,33
Sunrisers Hyderabad,Kochi Tuskers Kerala,1,0,1
Sunrisers Hyderabad,Kolkata Knight Riders,11,26,37
Sunrisers Hyderabad,Lucknow Super Giants,1,3,4
Sunrisers Hyderabad,Mumbai Indians,14,19,33
Sunrisers Hyderabad,Pune Warriors,6,4,10
Sunrisers Hyderabad,Rajasthan Royals,13,16,29
Sunrisers Hyderabad,Royal Challengers Bangalore,19,16,35
